VALUE,DATE,HOUR
207200,24.01.2009 0:00:00.000000,9
209731,24.01.2009 0:00:00.000000,10
209603,24.01.2009 0:00:00.000000,11
209131,24.01.2009 0:00:00.000000,12
209791,24.01.2009 0:00:00.000000,13
210027,24.01.2009 0:00:00.000000,14
209818,24.01.2009 0:00:00.000000,15
208276,24.01.2009 0:00:00.000000,16
208553,24.01.2009 0:00:00.000000,17
213724,24.01.2009 0:00:00.000000,18
219028,24.01.2009 0:00:00.000000,19
213653,24.01.2009 0:00:00.000000,20
209725,24.01.2009 0:00:00.000000,21
209641,24.01.2009 0:00:00.000000,22
209783,24.01.2009 0:00:00.000000,23
211231,24.01.2009 0:00:00.000000,24
210839,25.01.2009 0:00:00.000000,1
208870,25.01.2009 0:00:00.000000,2
207587,25.01.2009 0:00:00.000000,3
207129,25.01.2009 0:00:00.000000,4
206836,25.01.2009 0:00:00.000000,5
206914,25.01.2009 0:00:00.000000,6
207858,25.01.2009 0:00:00.000000,7
208232,25.01.2009 0:00:00.000000,8
213168,25.01.2009 0:00:00.000000,9
218437,25.01.2009 0:00:00.000000,10
219735,25.01.2009 0:00:00.000000,11
220111,25.01.2009 0:00:00.000000,12
217971,25.01.2009 0:00:00.000000,13
211148,25.01.2009 0:00:00.000000,14
210062,25.01.2009 0:00:00.000000,15
209510,25.01.2009 0:00:00.000000,16
210301,25.01.2009 0:00:00.000000,17
211754,25.01.2009 0:00:00.000000,18
215408,25.01.2009 0:00:00.000000,19
214258,25.01.2009 0:00:00.000000,20
213457,25.01.2009 0:00:00.000000,21
214309,25.01.2009 0:00:00.000000,22
212812,25.01.2009 0:00:00.000000,23
213572,25.01.2009 0:00:00.000000,24
212603,26.01.2009 0:00:00.000000,1
209546,26.01.2009 0:00:00.000000,2
209733,26.01.2009 0:00:00.000000,3
207308,26.01.2009 0:00:00.000000,4
207848,26.01.2009 0:00:00.000000,5
208052,26.01.2009 0:00:00.000000,6
209002,26.01.2009 0:00:00.000000,7
211448,26.01.2009 0:00:00.000000,8
215150,26.01.2009 0:00:00.000000,9
220403,26.01.2009 0:00:00.000000,10
220812,26.01.2009 0:00:00.000000,11
220174,26.01.2009 0:00:00.000000,12
217657,26.01.2009 0:00:00.000000,13
216552,26.01.2009 0:00:00.000000,14
216186,26.01.2009 0:00:00.000000,15
214640,26.01.2009 0:00:00.000000,16
216272,26.01.2009 0:00:00.000000,17
219660,26.01.2009 0:00:00.000000,18
221134,26.01.2009 0:00:00.000000,19
217230,26.01.2009 0:00:00.000000,20
213664,26.01.2009 0:00:00.000000,21
213578,26.01.2009 0:00:00.000000,22
213381,26.01.2009 0:00:00.000000,23
212635,26.01.2009 0:00:00.000000,24
211184,27.01.2009 0:00:00.000000,1
207742,27.01.2009 0:00:00.000000,2
206944,27.01.2009 0:00:00.000000,3
207932,27.01.2009 0:00:00.000000,4
208909,27.01.2009 0:00:00.000000,5
207942,27.01.2009 0:00:00.000000,6
209090,27.01.2009 0:00:00.000000,7
212263,27.01.2009 0:00:00.000000,8
214610,27.01.2009 0:00:00.000000,9
218714,27.01.2009 0:00:00.000000,10
217149,27.01.2009 0:00:00.000000,11
216632,27.01.2009 0:00:00.000000,12
213803,27.01.2009 0:00:00.000000,13
